date,Sump 01,Sump 02,Sump 03,Sump 03B,Sump 03C,Sump 04,Sump 05
30/05/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
31/05/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
1/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
2/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
3/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
4/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
5/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
6/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
7/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
8/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
9/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
10/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
11/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
12/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
13/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
14/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
15/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
16/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
17/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
18/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
19/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
20/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
21/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
22/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
23/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
24/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
25/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
26/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
27/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
28/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
29/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
30/06/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
1/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
2/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
3/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
4/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
5/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
6/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
7/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
8/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
9/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
10/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
11/07/2019,tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr S (S2),tr N(S4),transfer
